ADCODE99,prov
230000,黑龍江省
150000,內蒙古自治區
650000,新疆維吾爾自治區
220000,吉林省
210000,遼寧省
620000,甘肅省
130000,河北省
110000,北京市
140000,山西省
120000,天津市
610000,陝西省
640000,寧夏回族自治區
630000,青海省
370000,山東省
540000,西藏自治區
410000,河南省
320000,江蘇省
340000,安徽省
510000,四川省
420000,湖北省
500000,重慶市
310000,上海市
330000,浙江省
430000,湖南省
360000,江西省
530000,雲南省
520000,貴州省
350000,福建省
450000,廣西壯族自治區
710000,臺灣省
440000,廣東省
810000,香港特別行政區
460000,海南省
0,NA
