"type","alias"
1,熱
2,風暴
3,大風
4,微風
5,灰塵
6,大霧
7,薄霧
8,多雲
9,少雲
10,晴
11,陣雨
12,雨加雪
13,小雪
14,大雪
15,冰雹
16,大雨
17,雷暴雨
18,冷
19,無數據
